Wine_Id,product_link,image_link
102,https://labodega.consum.es/tintos/consigna-0187l,https://labodega.consum.es/public/Image/2018/3/7270783_normal.png
103,https://labodega.consum.es/vino-techno-hu-ha,https://labodega.consum.es/public/Image/2018/4/7307937.png_normal.jpg
104,https://labodega.consum.es/tintos/viasdelvero-075l5,https://labodega.consum.es/public/Image/2018/3/7080836_normal.png
105,https://labodega.consum.es/tintos/viaalbali-075l10,https://labodega.consum.es/public/Image/2018/3/311167_normal.png
106,https://labodega.consum.es/tintos/seoriodebenidorm-075l,https://labodega.consum.es/public/Image/2018/3/7246437_normal.png
107,https://labodega.consum.es/tintos/renebarbier-075l,https://labodega.consum.es/public/Image/2018/3/92056_normal.png
108,https://labodega.consum.es/tintos/corazonloco-075l,https://labodega.consum.es/public/Image/2018/3/7256493_normal.png
109,https://labodega.consum.es/tintos/portia-075l,https://labodega.consum.es/public/Image/2018/3/7274111_normal.png
110,https://labodega.consum.es/tintos/sumarroca-075l,https://labodega.consum.es/public/Image/2018/3/7186786_normal.png
111,https://labodega.consum.es/tintos/altosdetamaron-075l,https://labodega.consum.es/public/Image/2018/3/7025054_normal.png
112,https://labodega.consum.es/con-un-par,https://labodega.consum.es/public/Image/2019/5/7291839Tintoconunpar.png_normal.jpg
113,https://labodega.consum.es/tintos/enate-075l,https://labodega.consum.es/public/Image/2018/3/7084577_normal.png
114,https://labodega.consum.es/carlades-crianza,https://labodega.consum.es/public/Image/2017/12/7217128.png_normal.jpg
115,https://labodega.consum.es/tintos/faustinovii-075l,https://labodega.consum.es/public/Image/2018/3/954615_normal.png
116,https://labodega.consum.es/tintos/condadodehaza-075l,https://labodega.consum.es/public/Image/2018/3/7280162_normal.png
117,https://labodega.consum.es/tintos/vialaujar-075l,https://labodega.consum.es/public/Image/2018/3/7240612_normal.png
118,https://labodega.consum.es/tintos/protos-075l,https://labodega.consum.es/public/Image/2018/3/7091663_normal.png
119,https://labodega.consum.es/tintos/enriquemendoza-075l5,https://labodega.consum.es/public/Image/2018/3/7263403_normal.png
120,https://labodega.consum.es/tintos/hoyadecadenas-075l5,https://labodega.consum.es/public/Image/2018/3/7108389_normal.png
121,https://labodega.consum.es/tintos/faustinoriveroulecia-075l10,https://labodega.consum.es/public/Image/2018/3/7282960_normal.png
122,https://labodega.consum.es/tintos/enterizo-075l9,https://labodega.consum.es/public/Image/2018/3/328567_normal.png
123,https://labodega.consum.es/tintos/fincaluzon-075l,https://labodega.consum.es/public/Image/2018/3/7230688_normal.png
124,https://labodega.consum.es/tintos/sangredetoro-075l,https://labodega.consum.es/public/Image/2018/3/308064_normal.png
125,https://labodega.consum.es/tintos/dehesasviejas-0375l,https://labodega.consum.es/public/Image/2018/3/7108884_normal.png
126,https://labodega.consum.es/lopez-de-haro,https://labodega.consum.es/public/Image/2017/11/7298958.png_normal.jpg
127,https://labodega.consum.es/tintos/elmiracle-075l,https://labodega.consum.es/public/Image/2018/3/7036288_normal.png
128,https://labodega.consum.es/tintos/tesorodebullas-075l,https://labodega.consum.es/public/Image/2018/3/7069979_normal.png
129,https://labodega.consum.es/tintos/laboscana-075l,https://labodega.consum.es/public/Image/2018/3/7249811_normal.png
130,https://labodega.consum.es/tintos/faustinoriveroulecia-075l,https://labodega.consum.es/public/Image/2018/3/7192623_normal.png
131,https://labodega.consum.es/tintos/lagunilla-075l5,https://labodega.consum.es/public/Image/2018/3/7168594_normal.png
132,https://labodega.consum.es/tintos/marquesdecaceres-075l,https://labodega.consum.es/public/Image/2018/3/309443_normal.png
133,https://labodega.consum.es/tinto-compta-ovelles,https://labodega.consum.es/public/Image/2019/5/7321131TintoComptaOvelles.png_normal.jpg
134,https://labodega.consum.es/tintos/murviedro-075l,https://labodega.consum.es/public/Image/2018/3/7214620_normal.png
135,https://labodega.consum.es/vino-intramurs,https://labodega.consum.es/public/Image/2019/1/7322493_INTRAMURSNEGRE1.png_normal.jpg
136,https://labodega.consum.es/tintos/altosdetamaron-075l9,https://labodega.consum.es/public/Image/2018/3/7018161_normal.png
137,https://labodega.consum.es/tintos/cotodeimaz-075l,https://labodega.consum.es/public/Image/2018/3/7186745_normal.png
138,https://labodega.consum.es/tintos/grancivet-075l,https://labodega.consum.es/public/Image/2018/6/gran_Civet.png_normal.jpg
139,https://labodega.consum.es/tintos/castillodealbai-075l,https://labodega.consum.es/public/Image/2018/3/7139975_normal.png
140,https://labodega.consum.es/tintos/dairo-075l,https://labodega.consum.es/public/Image/2018/3/7057300_normal.png
141,https://labodega.consum.es/tinto-la-garnacha-salvaje,https://labodega.consum.es/public/Image/2019/5/7329154GarnachaSalvaje.png_normal.jpg
